agency,state,population,latitude,longitude,violent_crime_rate,property_crime_rate,homicide_rate
Fairfield Police Dept,CA,107110,41.1408,73.2613,423.86331808421244,3096.8163570161514,7.4689571468583695
Fargo Police Dept,ND,109813,46.8772,96.7898,358.7917641809258,2581.661551910976,1.8212779907661205
Fayetteville Police Dept,NC,205966,35.0527,78.8784,575.8231941194178,6390.860627482206,10.681374595807075
Flint City Police Dept,MI,101632,43.0125,83.6875,2729.455289672544,5554.352959697733,61.988350125944585
Fontana Police Dept,CA,200874,34.0922,117.435,423.150830869102,2237.223334030288,2.4891225345241295
Fort Collins Police Dept,CO,148792,40.5853,105.0844,262.7829453196408,2768.293994300769,1.3441582880800045
Fort Lauderdale Police Dept,FL,170827,26.1224,80.1373,903.2529986477548,5830.460056080128,9.36620089330141
Fremont Police Dept,CA,218927,37.5483,121.9886,139.77261827001695,1945.3973242222294,0.9135465246406337
Frisco Police Dept,TX,123205,33.1507,96.8236,79.54222637068301,2051.0531228440404,0.0
Fullerton Police Dept,CA,138455,33.8704,117.9243,326.45986060452856,2843.5231663717454,0.0
Gainesville Police Dept,FL,127036,29.6516,82.3248,669.8888504046098,4094.1150540004405,4.723070625649422
Garden Grove Police Dept,CA,175079,33.7739,117.9414,250.74394987405685,2294.3928169569167,0.5711707286424985
Garland Police Dept,TX,234984,32.9126,96.6389,229.80288019609847,3691.740714261397,2.978926224764239
Gilbert Police Dept,AZ,214264,33.3528,117.789,95.6763618713363,1580.2934697382666,2.3335698017399094
Glendale Police Dept,AZ,232997,34.1425,118.2551,491.42263634295716,6409.52458615347,5.1502809049043545
Glendale Police Dept,CA,194902,33.5387,112.186,119.5472596484387,1561.2974725759611,0.0
Grand Prairie Police Dept,TX,181782,32.746,96.9978,274.50462642065776,2885.8742889835075,0.5501094717848852
Grand Rapids Police Dept,MI,189953,42.9634,85.6681,771.24341284423,3484.0197311966645,8.423136249493295
Green Bay Police Dept,WI,106080,44.5192,88.0198,484.5399698340875,2807.3152337858223,0.9426847662141781
