agency,state,year,months_reported,population,latitude,longitude,source_file,violent_crime_rate,property_crime_rate,homicide_rate,coverage_ratio,safety_score,safety_label
Erie Police Dept,PA,,12,101972,42.1292,80.0851,crime_population.csv,449.1429019730907,3442.1213666496683,7.845290864158788,1.0,0.8088560874873341,Medium
Escondido Police Dept,CA,,12,147386,33.1192,117.0864,crime_population.csv,426.0920304506534,2637.292551531353,3.3924524717408704,1.0,0.8587276239886349,Medium
Eugene Police Dept,OR,,12,158043,44.0521,123.0868,crime_population.csv,272.07785223008926,5064.444486627057,0.0,1.0,0.803547460628373,Medium
Evansville Police Dept,IN,,12,118194,37.9716,87.5711,crime_population.csv,473.7973162766299,5146.623348054893,6.768533089666142,1.0,0.7415629072474507,Low
Everett Police Dept,WA,,12,105318,47.979,122.2021,crime_population.csv,456.7120530203764,6092.026054425644,0.9495053077346703,1.0,0.7267212068591309,Low
Fairfield Police Dept,CA,,12,107110,41.1408,73.2613,crime_population.csv,423.8633180842125,3096.8163570161514,7.4689571468583695,1.0,0.8281225557810746,Medium
Fargo Police Dept,ND,,12,109813,46.8772,96.7898,crime_population.csv,358.7917641809258,2581.661551910976,1.8212779907661203,1.0,0.8782876727604244,Medium
Fayetteville Police Dept,NC,,12,205966,35.0527,78.8784,crime_population.csv,575.8231941194178,6390.860627482206,10.681374595807076,1.0,0.6618874444147178,Low
Flint City Police Dept,MI,,12,101632,43.0125,83.6875,crime_population.csv,2729.455289672544,5554.352959697733,61.988350125944585,1.0,0.134346664845437,Low
Fontana Police Dept,CA,,12,200874,34.0922,117.435,crime_population.csv,423.150830869102,2237.223334030288,2.489122534524129,1.0,0.8777308888029626,Medium
Fort Collins Police Dept,CO,,12,148792,40.5853,105.0844,crime_population.csv,262.7829453196408,2768.293994300769,1.3441582880800045,1.0,0.8901605371071004,High
Fort Lauderdale Police Dept,FL,,12,170827,26.1224,80.1373,crime_population.csv,903.2529986477548,5830.460056080128,9.36620089330141,1.0,0.6279316892799052,Low
Fremont Police Dept,CA,,12,218927,37.5483,121.9886,crime_population.csv,139.77261827001695,1945.3973242222291,0.9135465246406336,1.0,0.9460682212954765,High
Frisco Police Dept,TX,,12,123205,33.1507,96.8236,crime_population.csv,79.54222637068301,2051.0531228440404,0.0,1.0,0.9559424599694427,High
Fullerton Police Dept,CA,,12,138455,33.8704,117.9243,crime_population.csv,326.45986060452856,2843.523166371745,0.0,1.0,0.8799085596118912,Medium
Gainesville Police Dept,FL,,12,127036,29.6516,82.3248,crime_population.csv,669.8888504046098,4094.115054000441,4.723070625649422,1.0,0.7531501235804948,Low
Garden Grove Police Dept,CA,,12,175079,33.7739,117.9414,crime_population.csv,250.74394987405685,2294.3928169569167,0.5711707286424985,1.0,0.9132795727628957,High
Garland Police Dept,TX,,12,234984,32.9126,96.6389,crime_population.csv,229.80288019609847,3691.740714261397,2.978926224764239,1.0,0.8550349215530642,Medium
Gilbert Police Dept,AZ,,12,214264,33.3528,117.789,crime_population.csv,95.6763618713363,1580.2934697382666,2.3335698017399094,1.0,0.9637554103453497,High
Glendale Police Dept,AZ,,12,232997,34.1425,118.2551,crime_population.csv,491.4226363429572,6409.52458615347,5.1502809049043545,1.0,0.694468663821884,Low
Glendale Police Dept,CA,,12,194902,33.5387,112.186,crime_population.csv,119.5472596484387,1561.2974725759611,0.0,1.0,0.9676499775530873,High
Grand Prairie Police Dept,TX,,12,181782,32.746,96.9978,crime_population.csv,274.50462642065776,2885.8742889835075,0.5501094717848852,1.0,0.8860050781874695,High
Grand Rapids Police Dept,MI,,12,189953,42.9634,85.6681,crime_population.csv,771.24341284423,3484.0197311966645,8.423136249493295,1.0,0.7463586661846064,Low
Green Bay Police Dept,WI,,12,106080,44.5192,88.0198,crime_population.csv,484.5399698340875,2807.3152337858223,0.942684766214178,1.0,0.8493162269062416,Medium
Gresham Police Dept,OR,,12,108202,45.5001,122.4302,crime_population.csv,450.08410195745,4489.750651559121,3.6967893384595474,1.0,0.7813490103670779,Medium
Hampton Police Dept,VA,,12,137905,37.0299,76.3452,crime_population.csv,227.6929770494181,3376.962401653312,6.526231826257206,1.0,0.8562112149399809,Medium
Hartford Police Dept,CT,,12,125203,41.7637,72.6851,crime_population.csv,1321.853310224196,4248.300759566464,18.37016684903716,1.0,0.5836948017867173,Low
Hayward Police Dept,CA,,12,147424,37.6688,112.0808,crime_population.csv,415.8074668981984,3250.4883872368137,4.069893640112872,1.0,0.8345921109428487,Medium
Hialeah Police Dept,FL,,12,233107,25.8576,80.2781,crime_population.csv,347.4799126581356,3086.136409460033,1.7159501859661013,1.0,0.8610916671471335,Medium
High Point Police Dept,NC,,12,106801,35.9557,80.0053,crime_population.csv,520.5943764571493,4135.729066207245,4.681604104830479,1.0,0.7790152180061432,Medium
Hollywood Police Dept,FL,,12,145313,26.0112,80.1495,crime_population.csv,442.493101099007,5307.8527041627385,3.440848375575482,1.0,0.7517672173605572,Low
Huntington Beach Police Dept,CA,,12,194677,33.6603,117.9992,crime_population.csv,160.7791367239068,2809.782357443355,1.5410140900054965,1.0,0.906598566581822,High
Huntsville Police Dept,AL,,12,183691,34.7304,86.5861,crime_population.csv,923.2896549096037,5041.6188054940085,7.621494792885879,1.0,0.6605512023988981,Low
Independence Police Dept,MO,,12,117433,39.0911,94.4155,crime_population.csv,457.28202464383946,6090.281266764879,4.25774697061303,1.0,0.7160108594229027,Low
Inglewood Police Dept,CA,,12,111488,33.9617,118.3531,crime_population.csv,699.6268656716418,2397.5674512055107,12.557405281285876,1.0,0.788367428245077,Medium
Irvine Police Department,CA,,12,217528,33.6839,117.7947,crime_population.csv,50.56820271413335,1518.88492515906,0.9194218675296972,1.0,0.9789680896872727,High
Irving Police Dept,TX,,12,224007,32.814,96.9489,crime_population.csv,226.3322128326347,2815.537014468298,1.3392438629149983,1.0,0.8950174336674523,High
Jackson Police Dept,MS,,12,175939,32.2988,90.1848,crime_population.csv,948.0558602697524,6575.006110072241,35.807865226015835,1.0,0.5054735305071378,Low
Joliet,IL,,12,148471,41.525,88.0817,crime_population.csv,340.80729570084395,2582.996005954025,7.408854254366173,1.0,0.8635024939979906,Medium
Kansas City Police Dept,KS,,12,147201,39.0997,94.5786,crime_population.csv,595.7839960326356,5120.889124394535,10.190148164754316,1.0,0.7091772658120654,Low
Kent Police Dept,WA,,12,122102,47.3809,122.2348,crime_population.csv,444.7101603577337,4478.223124928339,1.6379748079474536,1.0,0.7894240844598304,Medium
Killeen Police Dept,TX,,12,131965,31.1171,97.7278,crime_population.csv,644.8679574129504,3778.274542492328,9.09332019853749,1.0,0.7559095352236116,Low
Knoxville Police Dept,TN,,12,182254,35.9606,83.9207,crime_population.csv,973.3668396852744,6676.945361967364,9.876326445510111,1.0,0.580540548048245,Low
Lafayette Police Dept,LA,,12,122852,30.2241,92.0198,crime_population.csv,634.0963110083678,5547.325236870381,8.953863184970533,1.0,0.6895729295070725,Low
Lakewood,CO,,12,146404,39.7047,105.0814,crime_population.csv,461.73601814158087,4579.792901833283,1.3660828939100025,1.0,0.7832345767053981,Medium
Lancaster,CA,,12,159155,40.0379,76.3055,crime_population.csv,539.7254249002544,2197.8574345763564,5.026546448430775,1.0,0.8497192736440502,Medium
Lansing City Police Dept,MI,,12,114688,42.7325,84.5555,crime_population.csv,939.94140625,3290.666852678571,11.335100446428571,1.0,0.7135755072605323,Low
Laredo,TX,,12,245558,27.5306,99.4803,crime_population.csv,421.8962526164898,4351.314149813893,3.257886120590655,1.0,0.7933095077005644,Medium
Lewisville Police Dept,TX,,12,100216,33.0462,96.9942,crime_population.csv,167.63790213139615,2585.4155025145683,1.9956893110880496,1.0,0.9125958923201546,High
Little Rock Police Dept,AR,,12,196055,34.7465,92.2896,crime_population.csv,1315.4471959399148,8061.003289893143,22.952742852770907,1.0,0.42189024129940933,Low
Lowell Police Dept,MA,,12,108539,42.6334,71.3162,crime_population.csv,538.9767733257171,2879.1494301587445,0.0,1.0,0.8395935525568807,Medium
Lubbock Police Dept,TX,,12,237241,33.5779,101.8552,crime_population.csv,827.0071362032701,5173.2204804397215,4.63663532020182,1.0,0.6827041539369271,Low
Madison City Police Dept,WI,,12,237508,43.0731,89.4012,crime_population.csv,377.6714889603719,3264.3110968893675,1.2631153476935515,1.0,0.850096677795781,Medium
Manchester Police Dept,NH,,12,110040,42.9956,71.4548,crime_population.csv,567.0665212649945,3496.910214467466,0.9087604507451836,1.0,0.807504612023759,Medium
Mcallen Police Dept,TX,,12,135745,26.2034,98.23,crime_population.csv,122.28811374267929,4025.93097351652,0.7366753839920439,1.0,0.8689752611341968,Medium
Mckinney Police Dept,TX,,12,138105,33.1972,96.6398,crime_population.csv,165.8158647405959,2017.305673219652,0.0,1.0,0.9414499757523508,High
Mesquite Police Dept,TX,,12,144811,32.7668,96.5992,crime_population.csv,305.225431769686,4340.139906498815,1.3811105509940544,1.0,0.8211716293090173,Medium
Midland Police Dept,TX,,12,115637,31.9973,102.0779,crime_population.csv,344.1804958620511,2601.2435466157026,3.459100460925137,1.0,0.8749188556442644,Medium
Miramar Police Dept,FL,,12,125998,25.9861,80.3036,crime_population.csv,426.1972412260512,2368.2915601834948,1.587326782964809,1.0,0.8749880091786135,Medium
Modesto Police Dept,CA,,12,204631,37.6391,120.9963,crime_population.csv,777.0083711656591,5510.406536644008,9.773690203341625,1.0,0.6621831982112049,Low
Montgomery Police Dept,AL,,12,209018,32.3668,86.3,crime_population.csv,395.6597039489422,5768.881148991953,21.050818589786527,1.0,0.6856101080215341,Low
Moreno Valley,CA,,12,199673,33.9425,117.2297,crime_population.csv,353.5781001938169,3190.716822003976,2.5040941940072017,1.0,0.8533668323385943,Medium
Murfreesboro Police Dept,TN,,12,112247,35.8456,86.3903,crime_population.csv,624.515577253735,3568.9149821376072,2.6726772207720475,1.0,0.788490889616267,Medium
City Of Murrieta Police Dept,CA,,12,106839,33.5539,117.2139,crime_population.csv,65.51914563034099,1605.219067943354,0.9359877947191568,1.0,0.9728201760822459,High
Naperville Police Dept,IL,,12,142840,41.7508,88.1535,crime_population.csv,83.30999719966395,1430.9717166059927,2.100252030243629,1.0,0.972577407951388,High
New Haven Police Dept,CT,,12,129934,41.3083,72.9279,crime_population.csv,1439.1922052734467,5014.853694952823,13.083565502485875,1.0,0.5494621158958892,Low
Newport News Police Dept,VA,,12,181591,33.6189,117.9289,crime_population.csv,415.21881591048015,3151.0372210076494,11.0137616952382,1.0,0.8161616453904763,Medium
Norfolk Police Dept,VA,,12,245303,36.8508,7602859.0,crime_population.csv,543.001920074357,4643.644798473724,13.860409371267371,1.0,0.7255540811660832,Low
Norman Police Dept,OK,,12,113969,35.2226,97.4395,crime_population.csv,151.79566373312042,2676.166325930736,0.8774315822723723,1.0,0.9155786221609252,High
North Charleston Police Dept,SC,,12,100675,32.8546,79.9748,crime_population.csv,732.058604420164,5718.400794636205,12.912838341196922,1.0,0.6522048542647088,Low
North Las Vegas Police Dept,NV,,12,221884,36.1989,115.1175,crime_population.csv,763.9126750914892,2494.0960141335117,6.309603216094896,1.0,0.7929972194934363,Medium
Norwalk,CA,,12,107295,41.1177,73.4082,crime_population.csv,403.560277738944,2431.613775106016,10.252108672351929,1.0,0.8487174192546378,Medium
Oceanside,CA,,12,171141,33.1959,117.3795,crime_population.csv,425.3802420226597,2506.1206841142684,4.674508154095161,1.0,0.8598199847242962,Medium
Odessa Police Dept,TX,,12,103635,31.8457,102.3676,crime_population.csv,1064.312249722584,3586.6261398176293,4.824624885415159,1.0,0.7002945019098381,Low
Olathe Police Dept,KS,,12,128560,38.8814,94.8191,crime_population.csv,148.5687616677038,1929.0603609209709,0.0,1.0,0.9480393505929561,High
Ontario Police Dept,CA,,12,167933,34.0633,117.6509,crime_population.csv,317.9839578879672,3010.724515134012,1.786426729707681,1.0,0.8691986711565955,Medium
Orange Police Dept,CA,,12,139692,33.7175,117.8311,crime_population.csv,96.6411820290353,2028.0331013944965,2.863442430489935,1.0,0.9444662573621354,High
Orlando Police Dept,FL,,12,246513,28.5383,81.3792,crime_population.csv,1017.3905635808254,6613.849979514265,9.735794866802156,1.0,0.5753818011718097,Low
City Of Overland Park Police Dept,KS,,12,177085,38.9822,94.6708,crime_population.csv,160.93966174436005,2303.4136149306837,1.1294011350481408,1.0,0.9275788233626941,High
Oxnard Police Dept,CA,,12,201797,34.1978,119.1771,crime_population.csv,298.815145913963,2017.3738955484969,4.459927550954672,1.0,0.9026940532535078,High
Palm Bay Police Dept,FL,,12,104635,28.0345,80.5887,crime_population.csv,528.5038467052134,2348.162660677593,2.8671094757968176,1.0,0.852900062742436,Medium
Palmdale,CA,,12,155294,34.5794,118.1165,crime_population.csv,522.8791839993819,2184.8880188545595,3.863639290635826,1.0,0.8570613974522694,Medium
Pasadena Police Dept,CA,,12,139382,34.1478,118.1445,crime_population.csv,310.65704323370306,2424.272861632061,3.5872637786801738,1.0,0.8875249274750034,High
Pasadena Police Dept,TX,,12,154562,29.6911,95.2091,crime_population.csv,402.4275048200722,3629.6114180717127,5.175916460708325,1.0,0.8187388356112653,Medium
Paterson Police Dept,NJ,,12,147148,40.9168,74.1718,crime_population.csv,1054.7204175388044,3153.287846250034,14.271345855872998,1.0,0.6884156470263696,Low
Pembroke Pines Police Dept,FL,,12,159744,26.0078,80.2963,crime_population.csv,148.9883814102564,2652.994791666667,1.252003205128205,1.0,0.9157849916800413,High
Peoria Police Dept,AZ,,12,158347,33.5806,112.2374,crime_population.csv,186.93123330407272,2951.113693344364,5.683719931542751,1.0,0.8829484794059101,High
Peoria Police Dept,IL,,12,115288,40.6936,89.589,crime_population.csv,797.1341336479079,4356.047463742974,8.673929637082784,1.0,0.7069125389598578,Low
Pomona Police Dept,CA,,12,151511,34.0551,117.75,crime_population.csv,673.878464269921,3336.3914171248293,11.220307436423758,1.0,0.7609078478209721,Low
Pompano Beach Police Dept,FL,,12,103003,26.2379,80.1248,crime_population.csv,1029.0962399153425,5399.842723027485,4.854227546770482,1.0,0.6361736754520142,Low
City Of Port St Lucie Police Dept,FL,,12,168416,27.273,80.3582,crime_population.csv,234.5382861485845,1799.7102413072394,2.3750712521375643,1.0,0.9296555173928781,High
Providence Police Dept,RI,,12,177882,41.824,71.4128,crime_population.csv,636.9390944558752,4484.433500860121,9.556897268976062,1.0,0.7284191958773483,Low
Provo Police Dept,UT,,12,116879,40.2338,111.6585,crime_population.csv,127.48226798655018,2109.0187287707804,0.0,1.0,0.94490746292796,High
Pueblo Police Dept,CO,,12,109065,38.2544,104.6091,crime_population.csv,730.7568880942557,6445.697519827626,7.335075413744098,1.0,0.642170779208189,Low
Rancho Cucamonga,CA,,12,169276,34.1064,117.5931,crime_population.csv,189.63113495120396,2576.856731019164,2.363004796899738,1.0,0.9077145763225901,High
Reno Police Dept,NV,,12,230486,39.5296,119.8138,crime_population.csv,517.1680709457407,3220.5860659649607,3.037060819312236,1.0,0.8205187865594955,Medium
Rialto Police Dept,CA,,12,101595,34.1064,117.3703,crime_population.csv,501.0089079186968,3514.936758698755,3.9372016339386784,1.0,0.8091338304761431,Medium
Richardson Police Dept,TX,,12,103266,32.9483,96.7299,crime_population.csv,165.59177270350358,2908.9923111188577,1.9367458795731411,1.0,0.9005840514711264,High
Richmond Police Dept,CA,,12,106357,37.9358,122.3477,crime_population.csv,1092.5467999285424,4718.072153219816,16.924132873247647,1.0,0.612107057503127,Low
Richmond (City) Bureau Of Police,VA,,12,207799,37.5407,77.436,crime_population.csv,648.7037954946848,4380.675556667742,20.211839325502048,1.0,0.695919700436207,Low
Rochester Police Dept,MN,,12,108582,44.0121,92.4802,crime_population.csv,0.0,2505.94021108471,1.8419259177395888,1.0,0.9468900959049796,High
Rochester Police Dept,NY,,12,211993,43.161,77.6109,crime_population.csv,975.97562183657,5322.345549145491,16.981692791743125,1.0,0.6097886339370432,Low
Rockford Police Dept,IL,,12,152293,42.2711,89.094,crime_population.csv,1367.758202937758,4995.633417162969,5.909660982448307,1.0,0.5864409112641616,Low
Roseville Police Dept,CA,,12,122896,38.7521,121.288,crime_population.csv,238.4129670615805,2675.432886342924,1.627392266631949,1.0,0.8973203060438155,High
Round Rock Police Dept,TX,,12,106232,30.5083,97.6789,crime_population.csv,132.72836810000754,2481.361548309361,0.0,1.0,0.9294741606183005,High
Salem Police Dept,OR,,12,157353,42.5195,70.8967,crime_population.csv,358.4297725496177,4277.643260694108,4.448596467814404,1.0,0.8039574550238855,Medium
Salinas Police Dept,CA,,12,154413,36.6777,121.6555,crime_population.csv,665.0994411092331,3177.1936300700067,13.599891200870394,1.0,0.7610262567846637,Medium
Salt Lake City Police Dept,UT,,12,192465,40.7608,111.891,crime_population.csv,675.4474839581222,7459.53809783597,4.156599901280752,1.0,0.623151667710734,Low
San Bernardino Police Dept,CA,,12,214987,34.1083,117.2889,crime_population.csv,940.5219850502588,4888.667686883393,21.861786991771595,1.0,0.6173943395898948,Low
Santa Clara Police Dept,CA,,12,119360,37.3541,121.9552,crime_population.csv,185.15415549597856,2769.7721179624664,0.0,1.0,0.9086604589742456,High
Santa Clarita,CA,,12,179248,37.3541,121.9552,crime_population.csv,190.79710791752208,1529.7241810229402,0.557886280460591,1.0,0.954025175437411,High
Santa Maria Police Dept,CA,,12,101207,34.953,120.4357,crime_population.csv,681.771023743417,2401.019692313773,0.0,1.0,0.8320195711525188,Medium
Santa Rosa Police Dept,CA,,12,170862,38.4404,122.7141,crime_population.csv,372.2302208800084,2234.5518605658367,1.17053528578619,1.0,0.891417010982985,High
Savannah Police Dept,GA,,12,231285,32.0835,81.0998,crime_population.csv,379.61821994508944,3599.4552175886893,9.944440841386168,1.0,0.8087040829146472,Medium
Scottsdale Police Dept,AZ,,12,223432,33.4942,111.9261,crime_population.csv,147.24837982025852,2706.4162698270616,1.3426903934977978,1.0,0.9137347471594776,High
