agency,state,year,months_reported,population,violent_crime_total,property_crime_total,homicide_total,latitude,longitude,source_file
Oxnard Police Dept,CA,,12,201797,603,4071,9,34.1978,119.1771,crime_population.csv
Palm Bay Police Dept,FL,,12,104635,553,2457,3,28.0345,80.5887,crime_population.csv
Palmdale,CA,,12,155294,812,3393,6,34.5794,118.1165,crime_population.csv
Pasadena Police Dept,CA,,12,139382,433,3379,5,34.1478,118.1445,crime_population.csv
Pasadena Police Dept,TX,,12,154562,622,5610,8,29.6911,95.2091,crime_population.csv
Paterson Police Dept,NJ,,12,147148,1552,4640,21,40.9168,74.1718,crime_population.csv
Pembroke Pines Police Dept,FL,,12,159744,238,4238,2,26.0078,80.2963,crime_population.csv
Peoria Police Dept,AZ,,12,158347,296,4673,9,33.5806,112.2374,crime_population.csv
Peoria Police Dept,IL,,12,115288,919,5022,10,40.6936,89.589,crime_population.csv
Pomona Police Dept,CA,,12,151511,1021,5055,17,34.0551,117.75,crime_population.csv
Pompano Beach Police Dept,FL,,12,103003,1060,5562,5,26.2379,80.1248,crime_population.csv
City Of Port St Lucie Police Dept,FL,,12,168416,395,3031,4,27.273,80.3582,crime_population.csv
Providence Police Dept,RI,,12,177882,1133,7977,17,41.824,71.4128,crime_population.csv
Provo Police Dept,UT,,12,116879,149,2465,0,40.2338,111.6585,crime_population.csv
Pueblo Police Dept,CO,,12,109065,797,7030,8,38.2544,104.6091,crime_population.csv
Rancho Cucamonga,CA,,12,169276,321,4362,4,34.1064,117.5931,crime_population.csv
Reno Police Dept,NV,,12,230486,1192,7423,7,39.5296,119.8138,crime_population.csv
Rialto Police Dept,CA,,12,101595,509,3571,4,34.1064,117.3703,crime_population.csv
Richardson Police Dept,TX,,12,103266,171,3004,2,32.9483,96.7299,crime_population.csv
Richmond Police Dept,CA,,12,106357,1162,5018,18,37.9358,122.3477,crime_population.csv
Richmond (City) Bureau Of Police,VA,,12,207799,1348,9103,42,37.5407,77.436,crime_population.csv
Rochester Police Dept,MN,,12,108582,0,2721,2,44.0121,92.4802,crime_population.csv
Rochester Police Dept,NY,,12,211993,2069,11283,36,43.161,77.6109,crime_population.csv
Rockford Police Dept,IL,,12,152293,2083,7608,9,42.2711,89.094,crime_population.csv
Roseville Police Dept,CA,,12,122896,293,3288,2,38.7521,121.288,crime_population.csv
Round Rock Police Dept,TX,,12,106232,141,2636,0,30.5083,97.6789,crime_population.csv
Salem Police Dept,OR,,12,157353,564,6731,7,42.5195,70.8967,crime_population.csv
Salinas Police Dept,CA,,12,154413,1027,4906,21,36.6777,121.6555,crime_population.csv
Salt Lake City Police Dept,UT,,12,192465,1300,14357,8,40.7608,111.891,crime_population.csv
San Bernardino Police Dept,CA,,12,214987,2022,10510,47,34.1083,117.2889,crime_population.csv
Santa Clara Police Dept,CA,,12,119360,221,3306,0,37.3541,121.9552,crime_population.csv
Santa Clarita,CA,,12,179248,342,2742,1,37.3541,121.9552,crime_population.csv
Santa Maria Police Dept,CA,,12,101207,690,2430,0,34.953,120.4357,crime_population.csv
Santa Rosa Police Dept,CA,,12,170862,636,3818,2,38.4404,122.7141,crime_population.csv
Savannah Police Dept,GA,,12,231285,878,8325,23,32.0835,81.0998,crime_population.csv
Scottsdale Police Dept,AZ,,12,223432,329,6047,3,33.4942,111.9261,crime_population.csv
Shreveport Police Dept,LA,,12,202164,1550,9862,17,32.5252,93.7502,crime_population.csv
Simi Valley Police Dept,CA,,12,126686,141,1916,3,34.2694,118.7815,crime_population.csv
Sioux Falls Police Dept,SD,,12,158354,631,5041,2,43.5446,96.7311,crime_population.csv
South Bend Police Dept,IN,,12,101398,622,4827,18,41.6764,86.252,crime_population.csv
